room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9395155,47081864,Shared room,Busan,Suyeong,0,0.0,1,1.0,18.0,,35.158589,129.126655,2017-01-16 04:10:42.975862
15260870,96370154,Shared room,Incheon,Jung,0,0.0,8,1.0,20.0,,35.098973,129.038114,2017-01-16 04:10:42.972540
10502954,54153818,Shared room,Busan,Dong,6,3.0,16,1.0,16.0,,35.108637,129.036799,2017-01-16 04:10:42.970297
9308451,48319394,Shared room,Busan,Dong,15,4.5,8,1.0,13.0,,35.117263,129.042101,2017-01-16 04:10:42.968150
15400654,87697970,Shared room,Busan,Busanjin,1,0.0,1,1.0,10.0,,35.147721,129.059582,2017-01-16 04:10:42.965888
12233741,62329778,Shared room,Busan,Haeundae,0,0.0,4,1.0,22.0,,35.162539,129.159749,2017-01-16 04:10:42.963553
9395532,47081864,Shared room,Busan,Suyeong,0,0.0,1,1.0,18.0,,35.157362,129.127632,2017-01-16 04:10:42.961086
15168617,91595659,Shared room,Busan,Seo,0,0.0,6,1.0,18.0,,35.078884,129.020378,2017-01-16 04:10:42.958638
6107679,31688399,Shared room,Busan,Haeundae,4,4.5,4,1.0,27.0,,35.165137,129.160555,2017-01-16 04:10:42.952421
14267157,32576225,Shared room,Incheon,Jung,0,0.0,1,1.0,24.0,,35.096476,129.030387,2017-01-16 04:10:42.950088
13011645,70766355,Shared room,Busan,Haeundae,1,0.0,1,1.0,13.0,,35.180312,129.199096,2017-01-16 04:10:42.945489
14797413,57705004,Shared room,Busan,Yeonje,2,0.0,8,1.0,16.0,,35.187711,129.080894,2017-01-16 04:10:42.942699
2256678,11524294,Shared room,Busan,Haeundae,8,4.5,16,1.0,22.0,,35.161416,129.160531,2017-01-16 04:10:42.936502
15134878,36999051,Shared room,Busan,Yeonje,1,0.0,4,1.0,22.0,,35.186979,129.122114,2017-01-16 04:10:42.933064
2256699,11524294,Shared room,Busan,Haeundae,19,5.0,16,1.0,31.0,,35.16065,129.158989,2017-01-16 04:10:42.930098
15837795,102569663,Shared room,Busan,Dong,3,5.0,10,1.0,23.0,,35.116766,129.035123,2017-01-16 04:10:42.924283
4723430,22122877,Shared room,Busan,Suyeong,13,5.0,4,1.0,27.0,,35.157318,129.118103,2017-01-16 04:10:42.921101
6045209,31273436,Shared room,Busan,Haeundae,10,5.0,6,1.0,27.0,,35.172208,129.133755,2017-01-16 04:10:42.381987
13832943,35442568,Shared room,Incheon,Jung,13,4.5,16,1.0,13.0,,35.100754,129.026,2017-01-16 04:10:42.379900
13010463,70766355,Shared room,Busan,Haeundae,1,0.0,1,1.0,13.0,,35.180272,129.198095,2017-01-16 04:10:42.377688
14285826,86797667,Shared room,Busan,Suyeong,2,0.0,1,1.0,22.0,,35.156079,129.127169,2017-01-16 04:10:42.375489
13011562,70766355,Shared room,Busan,Haeundae,1,0.0,1,1.0,13.0,,35.179676,129.197635,2017-01-16 04:10:42.373139
8078902,35442568,Shared room,Incheon,Jung,44,4.5,4,1.0,15.0,,35.101984,129.027799,2017-01-16 04:10:42.370915
15792387,36999051,Shared room,Busan,Yeonje,0,0.0,6,1.0,21.0,,35.188201,129.122133,2017-01-16 04:10:42.368790
13010354,70766355,Shared room,Busan,Haeundae,0,0.0,1,1.0,13.0,,35.178885,129.197969,2017-01-16 04:10:42.366827
14378429,86797667,Shared room,Busan,Suyeong,1,0.0,1,1.0,22.0,,35.156611,129.127227,2017-01-16 04:10:42.364771
13010199,70766355,Shared room,Busan,Haeundae,0,0.0,1,1.0,13.0,,35.178569,129.198978,2017-01-16 04:10:42.359562
10866219,56005569,Shared room,Incheon,Jung,1,0.0,1,1.0,21.0,,35.098888,129.031733,2017-01-16 04:10:42.357396
15956936,91268823,Shared room,Busan,Suyeong,0,0.0,1,1.0,10.0,,35.154176,129.123364,2017-01-16 04:10:42.355343
15194186,36999051,Shared room,Busan,Yeonje,0,0.0,6,1.0,21.0,,35.187297,129.120423,2017-01-16 04:10:42.353520
8142849,31273436,Shared room,Busan,Haeundae,2,0.0,4,1.0,27.0,,35.172625,129.134331,2017-01-16 04:10:42.351018
14285767,86797667,Shared room,Busan,Suyeong,4,5.0,1,1.0,25.0,,35.156607,129.124915,2017-01-16 04:10:42.349081
15915993,91268823,Shared room,Busan,Suyeong,0,0.0,1,1.0,10.0,,35.155401,129.124526,2017-01-16 04:10:41.241688
6039770,809854,Shared room,Busan,Dong,15,5.0,4,1.0,21.0,,35.113696,129.036956,2017-01-16 04:10:41.238815
15956377,101454830,Shared room,Busan,Haeundae,5,4.5,8,1.0,10.0,,35.161855,129.166116,2017-01-16 04:10:41.236720
15990891,57705004,Shared room,Busan,Yeonje,2,0.0,8,1.0,16.0,,35.187281,129.079764,2017-01-16 04:10:41.234625
15400884,87697970,Shared room,Busan,Busanjin,1,0.0,1,1.0,13.0,,35.147389,129.059332,2017-01-16 04:10:41.232607
14271943,86797667,Shared room,Busan,Suyeong,1,0.0,1,1.0,23.0,,35.156604,129.126849,2017-01-16 04:10:41.230487
13177063,4449162,Shared room,Busan,Gijang,0,0.0,2,1.0,22.0,,35.274887,129.241541,2017-01-16 04:10:41.228084
13010936,70766355,Shared room,Busan,Haeundae,1,0.0,1,1.0,13.0,,35.178983,129.197577,2017-01-16 04:10:41.224865
14334232,86644149,Shared room,Incheon,Jung,2,0.0,3,1.0,21.0,,35.103987,129.034551,2017-01-16 04:10:41.222532
15194048,36999051,Shared room,Busan,Yeonje,2,0.0,4,1.0,22.0,,35.188219,129.120354,2017-01-16 04:10:41.220166
9324878,48319394,Shared room,Busan,Dong,11,4.0,8,1.0,13.0,,35.118039,129.040848,2017-01-16 04:10:41.217838
10866225,56005569,Shared room,Incheon,Jung,0,0.0,1,1.0,22.0,,35.097395,129.029739,2017-01-16 04:10:41.214954
8142153,31273436,Shared room,Busan,Haeundae,10,4.5,8,1.0,27.0,,35.171462,129.134886,2017-01-16 04:10:41.212281
15916273,91268823,Shared room,Busan,Suyeong,0,0.0,1,1.0,10.0,,35.154062,129.124845,2017-01-16 04:10:41.209758
15710403,101454830,Shared room,Busan,Haeundae,6,5.0,8,1.0,10.0,,35.161791,129.164776,2017-01-16 04:10:41.203980
15117738,95800966,Shared room,Busan,Dongnae,0,0.0,3,1.0,28.0,,35.203765,129.115111,2017-01-16 04:10:41.201424
10927104,56642159,Shared room,Busan,Dongnae,0,0.0,1,1.0,31.0,,35.211538,129.083382,2017-01-16 04:10:40.216990
15309383,36999051,Shared room,Busan,Yeonje,1,0.0,6,1.0,21.0,,35.186477,129.120434,2017-01-16 04:10:40.214877
14167319,66048723,Shared room,Busan,Dong,7,4.5,1,1.0,13.0,,35.115076,129.039699,2017-01-16 04:10:40.212440
9395473,47081864,Shared room,Busan,Suyeong,0,0.0,1,1.0,21.0,,35.157127,129.126255,2017-01-16 04:10:40.208521
5864853,9177813,Shared room,Busan,Haeundae,5,5.0,4,1.0,39.0,,35.159846,129.165297,2017-01-16 04:10:40.206388
8393900,15772820,Shared room,Busan,Geumjeong,7,4.5,6,1.0,21.0,,35.275227,129.091832,2017-01-16 04:10:40.204399
14285571,86797667,Shared room,Busan,Suyeong,0,0.0,1,1.0,23.0,,35.156404,129.125417,2017-01-16 04:10:40.202464
8078007,35442568,Shared room,Incheon,Jung,17,4.0,4,1.0,15.0,,35.101756,129.027754,2017-01-16 04:10:40.200222
15401144,87697970,Shared room,Busan,Busanjin,2,0.0,1,1.0,9.0,,35.149149,129.05979,2017-01-16 04:10:40.198335
6304992,31688399,Shared room,Busan,Haeundae,5,5.0,1,1.0,39.0,,35.164719,129.16085,2017-01-16 04:10:40.196264
14407232,33406345,Shared room,Incheon,Jung,1,0.0,16,1.0,21.0,,35.101913,129.035368,2017-01-16 04:10:40.194025
10099617,45961128,Shared room,Busan,Dong,0,0.0,2,1.0,27.0,,35.114223,129.023102,2017-01-16 04:10:40.191681
11287306,56005569,Shared room,Incheon,Jung,1,0.0,1,1.0,21.0,,35.098833,129.029993,2017-01-16 04:10:40.188446
6603438,809854,Shared room,Busan,Dong,31,5.0,4,1.0,21.0,,35.114227,129.036855,2017-01-16 04:10:40.186340
1543580,8180419,Shared room,Busan,Busanjin,128,4.5,4,1.0,14.0,,35.149491,129.058431,2017-01-16 04:10:40.183733
14367525,86644149,Shared room,Incheon,Jung,1,0.0,3,1.0,21.0,,35.103887,129.033647,2017-01-16 04:10:40.181099
11680901,62042346,Shared room,Busan,Dong,15,5.0,8,1.0,18.0,,35.116274,129.042176,2017-01-16 04:10:38.906236
14392014,86797667,Shared room,Busan,Suyeong,0,0.0,1,1.0,22.0,,35.156868,129.126838,2017-01-16 04:10:38.904039
9321001,48319394,Shared room,Busan,Dong,10,5.0,6,1.0,13.0,,35.118678,129.042491,2017-01-16 04:10:38.901858
15183403,91595659,Shared room,Busan,Seo,0,0.0,4,1.0,22.0,,35.077844,129.020225,2017-01-16 04:10:38.899529
15490139,95800966,Shared room,Busan,Dongnae,1,0.0,2,1.0,28.0,,35.202438,129.114323,2017-01-16 04:10:38.897368
15573916,96370154,Shared room,Incheon,Jung,4,5.0,4,1.0,21.0,,35.10063,129.038003,2017-01-16 04:10:38.894610
15958028,91268823,Shared room,Busan,Suyeong,2,0.0,1,1.0,10.0,,35.154772,129.123579,2017-01-16 04:10:38.889392
6281660,32576225,Shared room,Incheon,Jung,1,0.0,1,1.0,22.0,,35.096151,129.030229,2017-01-16 04:10:38.886723
11287044,56005569,Shared room,Incheon,Jung,0,0.0,1,1.0,22.0,,35.097524,129.029937,2017-01-16 04:10:38.884722
15400986,87697970,Shared room,Busan,Busanjin,0,0.0,1,1.0,9.0,,35.149132,129.059802,2017-01-16 04:10:38.882790
15501217,72185304,Shared room,Busan,Yeonje,0,0.0,3,1.0,25.0,,35.172195,129.06866,2017-01-16 04:10:38.880790
2616653,13396423,Shared room,Busan,Busanjin,23,5.0,4,1.0,18.0,,35.148813,129.056204,2017-01-16 04:10:38.878727
15131671,36999051,Shared room,Busan,Yeonje,1,0.0,6,1.0,21.0,,35.188534,129.121838,2017-01-16 04:10:38.876456
13009772,70766355,Shared room,Busan,Haeundae,0,0.0,1,1.0,13.0,,35.178887,129.197989,2017-01-16 04:10:38.874231
6026644,31273436,Shared room,Busan,Suyeong,30,4.5,8,1.0,27.0,,35.170315,129.131679,2017-01-16 04:10:38.872006
10530851,51279527,Shared room,Busan,Buk,5,5.0,3,1.0,36.0,,35.207696,129.031977,2017-01-16 04:10:38.868922
15993276,57705004,Shared room,Busan,Yeonje,0,0.0,6,1.0,16.0,,35.187513,129.07936,2017-01-16 04:10:37.859975
14058003,84358887,Shared room,Busan,Haeundae,0,0.0,1,1.0,15.0,,35.162621,129.160827,2017-01-16 04:10:37.857693
7907046,35442568,Shared room,Incheon,Jung,56,4.5,16,1.0,13.0,,35.100393,129.025964,2017-01-16 04:10:37.851655
15866761,66048723,Shared room,Busan,Dong,0,0.0,1,1.0,19.0,,35.113964,129.039956,2017-01-16 04:10:37.849619
