room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4597881,2637843,Shared room,,Strawberry Hill,21,4.5,2,1.0,39.0,,42.375483,-71.150331,2017-03-10 20:31:16.972981
16913580,55513475,Shared room,,Neighborhood Nine,0,0.0,2,1.0,40.0,,42.385258,-71.120384,2017-03-10 20:31:16.967419
14521992,89743014,Shared room,,Mid-Cambridge,1,0.0,1,1.0,395.0,,42.36995,-71.110711,2017-03-10 20:31:15.945004
15270992,94493952,Shared room,,Neighborhood Nine,1,0.0,1,1.0,170.0,,42.390255,-71.139194,2017-03-10 20:31:12.673008
13679111,2266966,Shared room,,Agassiz,0,0.0,2,1.0,169.0,,42.378685,-71.108195,2017-03-10 20:31:12.669585
15024539,616401,Shared room,,Mid-Cambridge,0,0.0,1,1.0,180.0,,42.374614,-71.104868,2017-03-10 20:31:12.666278
16606045,109165131,Shared room,,Mid-Cambridge,0,0.0,2,1.0,112.0,,42.372289,-71.110873,2017-03-10 20:31:10.363741
16141000,100884487,Shared room,,Mid-Cambridge,0,0.0,2,1.0,85.0,,42.371506,-71.112578,2017-03-10 20:31:09.181943
15072100,8414661,Shared room,,Mid-Cambridge,2,0.0,1,1.0,91.0,,42.369403,-71.103803,2017-03-10 20:31:09.178403
9348307,40641013,Shared room,,Riverside,0,0.0,1,1.0,100.0,,42.368365,-71.109442,2017-03-10 20:31:09.175258
16641259,109791777,Shared room,,Mid-Cambridge,3,4.5,2,1.0,90.0,,42.369663,-71.111208,2017-03-10 20:31:09.173274
15506610,30601853,Shared room,,Riverside,7,4.5,2,1.0,93.0,,42.369487,-71.112438,2017-03-10 20:31:09.170164
13435814,75902891,Shared room,,Mid-Cambridge,17,5.0,2,1.0,94.0,,42.373318,-71.112655,2017-03-10 20:31:09.167242
5239483,749384,Shared room,,Area Four,85,5.0,2,1.0,79.0,,42.364842,-71.099982,2017-03-10 20:31:07.188909
14142114,21379035,Shared room,,Mid-Cambridge,2,0.0,1,1.0,75.0,,42.370827,-71.112649,2017-03-10 20:31:07.179345
16320113,36445555,Shared room,,Mid-Cambridge,0,0.0,1,1.0,60.0,,42.37219,-71.113572,2017-03-10 20:31:04.333432
5758165,29007781,Shared room,,North Cambridge,46,4.5,1,1.0,54.0,,42.393312,-71.128338,2017-03-10 20:31:04.328494
12492581,67628053,Shared room,,Agassiz,0,0.0,2,1.0,56.0,,42.382958,-71.117235,2017-03-10 20:31:04.326170
12492170,67628053,Shared room,,Agassiz,0,0.0,2,1.0,56.0,,42.381695,-71.11735,2017-03-10 20:31:04.318274
12492342,67628053,Shared room,,Agassiz,0,0.0,2,1.0,56.0,,42.383344,-71.119386,2017-03-10 20:31:04.313178
4218394,21894257,Shared room,,Mid-Cambridge,3,4.5,2,1.0,50.0,,42.369641,-71.109457,2017-03-10 20:31:04.300166
12491895,67628053,Shared room,,Agassiz,0,0.0,2,1.0,56.0,,42.383707,-71.117727,2017-03-10 20:31:04.297558
8792738,46078639,Shared room,,Agassiz,0,0.0,2,1.0,50.0,,42.380022,-71.115932,2017-03-10 20:31:04.295132
15498749,9939488,Shared room,,Neighborhood Nine,7,4.5,2,1.0,48.0,,42.389482,-71.125809,2017-03-10 20:31:04.292931
16439359,79205303,Shared room,,Mid-Cambridge,3,5.0,3,1.0,49.0,,42.370184,-71.112022,2017-03-10 20:31:04.289908
17138092,101672096,Shared room,,Mid-Cambridge,0,0.0,2,1.0,50.0,,42.375032,-71.11469,2017-03-10 20:31:04.287256
15566348,15523177,Shared room,,Area 2/MIT,0,0.0,2,1.0,32.0,,42.356669,-71.097582,2017-03-10 20:31:01.570563
17591070,92392480,Shared room,,East Cambridge,0,0.0,4,1.0,35.0,,42.367902,-71.084227,2017-03-10 20:31:01.537316
16612440,21674180,Shared room,,Riverside,0,0.0,2,1.0,39.0,,42.367751,-71.108384,2017-03-10 20:31:01.534914
14390379,42070843,Shared room,,Agassiz,22,4.5,1,1.0,25.0,,42.383648,-71.119166,2017-03-10 20:31:01.530384
14390293,42070843,Shared room,,Agassiz,30,4.5,1,1.0,29.0,,42.382188,-71.118447,2017-03-10 20:31:01.510335
1984737,8824696,Entire home/apt,,West Cambridge,154,4.5,10,4.0,316.0,,42.381159,-71.133255,2017-03-10 20:27:02.933794
4440521,18928698,Entire home/apt,,West Cambridge,0,0.0,6,3.0,420.0,,42.382631,-71.132295,2017-03-10 20:25:52.453109
5560191,2407640,Entire home/apt,,Mid-Cambridge,1,0.0,5,3.0,400.0,,42.370884,-71.102146,2017-03-10 20:25:43.309047
6625867,2266966,Entire home/apt,,Mid-Cambridge,12,4.0,14,4.0,450.0,,42.377066,-71.108545,2017-03-10 20:25:40.182940
2538983,13000172,Entire home/apt,,Cambridgeport,58,5.0,4,2.0,350.0,,42.356577,-71.108157,2017-03-10 20:25:40.178380
13005845,71727698,Entire home/apt,,Riverside,36,4.5,6,3.0,398.0,,42.365015,-71.109784,2017-03-10 20:25:40.170233
5304655,27474650,Entire home/apt,,Mid-Cambridge,72,4.0,4,1.0,370.0,,42.371951,-71.113914,2017-03-10 20:25:40.165328
15930566,6626676,Entire home/apt,,Mid-Cambridge,0,0.0,5,2.0,290.0,,42.37586,-71.105878,2017-03-10 20:20:07.297623
6975451,12131046,Entire home/apt,,North Cambridge,13,4.5,4,1.0,249.0,,42.398059,-71.130906,2017-03-10 20:19:50.086995
688064,3011415,Entire home/apt,,Riverside,33,4.5,2,1.0,215.0,,42.366778,-71.110991,2017-03-10 20:19:48.672875
16054447,20483330,Entire home/apt,,Agassiz,0,0.0,6,3.0,300.0,,42.385613,-71.118814,2017-03-10 20:19:41.073537
2091096,10672028,Entire home/apt,,North Cambridge,0,0.0,6,2.0,239.0,,42.390031,-71.125954,2017-03-10 20:19:39.591401
3509799,17028791,Entire home/apt,,West Cambridge,18,4.5,4,1.0,199.0,,42.382878,-71.136352,2017-03-10 20:19:33.733805
15553281,45605659,Entire home/apt,,Cambridgeport,1,0.0,6,2.0,193.0,,42.363223,-71.101203,2017-03-10 20:19:33.731768
13508988,67730125,Entire home/apt,,Riverside,0,0.0,2,1.0,185.0,,42.369145,-71.113873,2017-03-10 20:19:33.726697
8890020,4918100,Entire home/apt,,Agassiz,3,5.0,3,1.0,181.0,,42.379515,-71.119128,2017-03-10 20:19:30.103026
12360417,30283594,Entire home/apt,,East Cambridge,2,0.0,5,2.0,189.0,,42.365897,-71.084483,2017-03-10 20:19:30.079682
7842611,41322072,Entire home/apt,,North Cambridge,1,0.0,2,1.0,185.0,,42.393032,-71.127616,2017-03-10 20:19:26.443801
14746599,56905529,Entire home/apt,,Cambridgeport,2,0.0,2,1.0,185.0,,42.360189,-71.106058,2017-03-10 20:19:25.248942
8049897,41474144,Entire home/apt,,Mid-Cambridge,12,4.5,4,1.0,150.0,,42.375223,-71.11286,2017-03-10 20:17:34.590646
12379140,30283594,Entire home/apt,,East Cambridge,0,0.0,3,1.0,126.0,,42.364194,-71.082737,2017-03-10 20:17:27.437925
8427020,5671925,Entire home/apt,,North Cambridge,5,5.0,2,1.0,138.0,,42.390643,-71.123617,2017-03-10 20:17:25.984940
10052826,30283594,Entire home/apt,,East Cambridge,2,0.0,3,1.0,129.0,,42.363646,-71.084674,2017-03-10 20:17:25.980092
13055504,67730125,Entire home/apt,,Mid-Cambridge,2,0.0,2,0.0,129.0,,42.371637,-71.11098,2017-03-10 20:17:24.689970
