room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
15566348,1385,15523177,Shared room,,Cambridge MA,,Area 2/MIT,0,0.0,2,1.0,,32.0,,2017-06-24 15:06:52.194851,42.356669,-71.097582,0101000020E610000069AB92C83EC651C09E3F6D54A72D4540
18227497,1385,125895857,Shared room,,Cambridge MA,,North Cambridge,5,4.5,1,1.0,,30.0,,2017-06-24 15:06:52.181141,42.39363,-71.143124,0101000020E610000074D190F128C951C0BC5CC47762324540
14390293,1385,42070843,Shared room,,Cambridge MA,,Agassiz,46,4.5,1,1.0,,29.0,,2017-06-24 15:06:52.177822,42.382188,-71.118447,0101000020E6100000CCD3B9A294C751C03A765089EB304540
16260373,1385,23983523,Shared room,,Cambridge MA,,Wellington-Harrington,5,5.0,1,1.0,,40.0,,2017-06-24 15:06:52.174597,42.370286,-71.088608,0101000020E61000007E8AE3C0ABC551C055151A88652F4540
16913580,1385,55513475,Shared room,,Cambridge MA,,Neighborhood Nine,10,4.0,2,1.0,,20.0,,2017-06-24 15:06:52.167806,42.385258,-71.120384,0101000020E61000008CBD175FB4C751C0DD42572250314540
18240072,1385,15523177,Shared room,,Cambridge MA,,Area 2/MIT,1,0.0,2,1.0,,10.0,,2017-06-24 15:06:52.153083,42.355877,-71.098496,0101000020E61000005BB22AC24DC651C00533A6608D2D4540
9489185,1385,49181031,Entire home/apt,,Cambridge MA,,Mid-Cambridge,3,4.5,5,2.0,,192.0,,2017-06-24 15:02:26.706130,42.375955,-71.111396,0101000020E6100000EF39B01C21C751C043E21E4B1F304540
18408740,1385,95459395,Entire home/apt,,Cambridge MA,,East Cambridge,0,0.0,5,2.0,,469.0,,2017-06-24 15:01:55.240501,42.364477,-71.081777,0101000020E6100000292499D53BC551C07592AD2EA72E4540
18426062,1385,95459395,Entire home/apt,,Cambridge MA,,East Cambridge,0,0.0,5,2.0,,469.0,,2017-06-24 15:01:55.237925,42.364428,-71.081596,0101000020E610000001DF6DDE38C551C093DFA293A52E4540
17805246,1385,43952026,Entire home/apt,,Cambridge MA,,North Cambridge,0,0.0,6,2.0,,350.0,,2017-06-24 15:01:53.234536,42.39669,-71.134093,0101000020E6100000D767CEFA94C851C03B53E8BCC6324540
15285943,1385,95459395,Entire home/apt,,Cambridge MA,,East Cambridge,1,0.0,3,1.0,,571.0,,2017-06-24 14:59:19.059093,42.362756,-71.084212,0101000020E6100000917BBABA63C551C0C136E2C96E2E4540
1401781,1385,25188,Entire home/apt,,Cambridge MA,,East Cambridge,4,5.0,4,2.0,,339.0,,2017-06-24 14:59:17.126120,42.364885,-71.082902,0101000020E610000079B130444EC551C086E63A8DB42E4540
8830728,1385,15941781,Entire home/apt,,Cambridge MA,,Mid-Cambridge,2,0.0,4,1.0,,370.0,,2017-06-24 14:59:12.257027,42.372555,-71.114994,0101000020E61000001E4FCB0F5CC751C00B7BDAE1AF2F4540
11826616,1385,21631889,Entire home/apt,,Cambridge MA,,Area Four,17,5.0,9,3.0,,360.0,,2017-06-24 14:59:07.938560,42.368745,-71.096666,0101000020E6100000A62897C62FC651C021C84109332F4540
14521640,1385,89736702,Entire home/apt,,Cambridge MA,,East Cambridge,50,5.0,4,1.0,,220.0,,2017-06-24 14:57:46.582367,42.370957,-71.079864,0101000020E61000002D08E57D1CC551C0739CDB847B2F4540
6185544,1385,21745230,Entire home/apt,,Cambridge MA,,North Cambridge,11,4.5,5,3.0,,195.0,,2017-06-24 14:57:07.216537,42.396327,-71.136416,0101000020E6100000ACA92C0ABBC851C0CAC2D7D7BA324540
18179654,1385,24651882,Entire home/apt,,Cambridge MA,,Cambridgeport,3,5.0,4,1.0,,195.0,,2017-06-24 14:57:06.125769,42.361583,-71.099849,0101000020E610000074620FED63C651C011E50B5A482E4540
8890020,1385,4918100,Entire home/apt,,Cambridge MA,,Agassiz,5,5.0,3,1.0,,181.0,,2017-06-24 14:57:02.792082,42.379515,-71.119128,0101000020E61000006D020CCB9FC751C0B4AB90F293304540
16803865,1385,12243051,Entire home/apt,,Cambridge MA,,Area Four,10,5.0,8,4.0,,199.0,,2017-06-24 14:57:01.543824,42.365221,-71.096756,0101000020E610000046EC134031C651C0FD67CD8FBF2E4540
16947329,1385,45016784,Entire home/apt,,Cambridge MA,,East Cambridge,55,5.0,10,3.0,,185.0,,2017-06-24 14:57:00.160610,42.368823,-71.088221,0101000020E61000008274B169A5C551C09D819197352F4540
14918240,1385,2124002,Entire home/apt,,Cambridge MA,,East Cambridge,2,0.0,4,1.0,,162.0,,2017-06-24 14:56:52.498534,42.369268,-71.087193,0101000020E61000002BDCF29194C551C0CBBA7F2C442F4540
12377990,1385,30283594,Entire home/apt,,Cambridge MA,,East Cambridge,1,0.0,3,1.0,,124.0,,2017-06-24 14:56:43.756031,42.364025,-71.084819,0101000020E610000015C5ABAC6DC551C094F6065F982E4540
12379518,1385,30283594,Entire home/apt,,Cambridge MA,,East Cambridge,1,0.0,3,1.0,,129.0,,2017-06-24 14:56:42.766064,42.364008,-71.084155,0101000020E6100000DF32A7CB62C551C0BEBD6BD0972E4540
5870441,1385,30283594,Entire home/apt,,Cambridge MA,,East Cambridge,1,0.0,3,1.0,,129.0,,2017-06-24 14:56:42.756193,42.363687,-71.083965,0101000020E61000008E40BCAE5FC551C07C7DAD4B8D2E4540
10295885,1385,42570883,Entire home/apt,,Cambridge MA,,Neighborhood Nine,0,0.0,8,2.0,,130.0,,2017-06-24 14:56:40.728486,42.377325,-71.120284,0101000020E6100000DA8EA9BBB2C751C04A7B832F4C304540
19401944,1385,136013359,Entire home/apt,,Cambridge MA,,Mid-Cambridge,0,0.0,2,1.0,,514.0,,2017-06-24 14:56:23.234516,42.368262,-71.107224,0101000020E61000002A560DC2DCC651C0062E8F35232F4540
10918238,1385,51079261,Entire home/apt,,Cambridge MA,,Area Four,25,4.5,5,3.0,,325.0,,2017-06-24 14:56:17.924711,42.362158,-71.097884,0101000020E61000004EB340BB43C651C00DFE7E315B2E4540
10138457,1385,51079261,Entire home/apt,,Cambridge MA,,Cambridgeport,23,4.5,5,3.0,,325.0,,2017-06-24 14:56:17.914004,42.361919,-71.098268,0101000020E6100000938FDD054AC651C088669E5C532E4540
6424462,1385,11396812,Entire home/apt,,Cambridge MA,,East Cambridge,0,0.0,4,2.0,,350.0,,2017-06-24 14:56:17.902647,42.369984,-71.082145,0101000020E6100000EA211ADD41C551C08A05BEA25B2F4540
6936271,1385,18945777,Entire home/apt,,Cambridge MA,,East Cambridge,0,0.0,4,2.0,,395.0,,2017-06-24 14:56:16.943363,42.363203,-71.082877,0101000020E6100000CC2555DB4DC551C09067976F7D2E4540
10846971,1385,614436,Entire home/apt,,Cambridge MA,,Riverside,3,5.0,4,2.0,,399.0,,2017-06-24 14:56:16.925002,42.36771,-71.115771,0101000020E6100000D0B4C4CA68C751C0C2340C1F112F4540
